representation,classifier,protocol,metric,filtered_point,baseline_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion,xgboost,S_R,f1,0.10534343790744723,0.2642186268747714,-0.15887518896732417,-0.1588396757371745,0.023859356656607447,-0.20613469000902715,-0.11340167248351991,0.0,2000,subject,CI excludes zero
full_fusion,xgboost,S_R,balanced_accuracy,0.5048585823192251,0.5211121711792622,-0.016253588860037138,-0.01609272499802615,0.0058700507407850435,-0.027877580948964288,-0.005355231023346231,0.003,2000,subject,CI excludes zero
full_fusion,xgboost,S_R,roc_auc,0.5665987980955266,0.5753049849093753,-0.008706186813848715,-0.00852422996170631,0.012473894109183604,-0.03350596471939128,0.015697333551302928,0.497,2000,subject,CI includes zero
full_fusion,xgboost,S_R,mcc,0.008802680403303707,0.0478621748721494,-0.0390594944688457,-0.03871407017589382,0.014754314659961902,-0.06799336798694833,-0.011383769997056717,0.007,2000,subject,CI excludes zero
hubert,svm_rbf,R_R,f1,0.5301037556623772,0.5725242574839651,-0.04242050182158785,-0.04312095131063154,0.015873284558386835,-0.07641671519788609,-0.013479749026287704,0.003,2000,subject,CI excludes zero
hubert,svm_rbf,R_R,balanced_accuracy,0.5672521616757452,0.576736601151267,-0.0094844394755218,-0.00963193898204263,0.00664419630904652,-0.023794116092259773,0.0023160504267001523,0.136,2000,subject,CI includes zero
hubert,svm_rbf,R_R,roc_auc,0.6134402367858929,0.6213366203106231,-0.00789638352473021,-0.007909817129622439,0.006718625485137842,-0.0209159552574624,0.005450249796752017,0.247,2000,subject,CI includes zero
hubert,svm_rbf,R_R,mcc,0.13997925650102552,0.16210773361603842,-0.022128477115012896,-0.02247918048683191,0.014751171474278827,-0.053926810568706525,0.004576964719137837,0.114,2000,subject,CI includes zero
hubert,svm_rbf,S_S,f1,0.532257892724874,0.5648467204530984,-0.03258882772822436,-0.032259041520273285,0.016186335182481963,-0.06668340075244891,-0.0016238199353716134,0.037,2000,subject,CI excludes zero
hubert,svm_rbf,S_S,balanced_accuracy,0.592263321194979,0.5952589170543495,-0.0029955958593704812,-0.002856956604656991,0.00617792067541677,-0.014744035366125379,0.008984382932095044,0.646,2000,subject,CI includes zero
hubert,svm_rbf,S_S,roc_auc,0.6424622960652852,0.6470236158529384,-0.004561319787653284,-0.0044503138278879,0.006768091096123819,-0.018856816276433142,0.007972033185678826,0.528,2000,subject,CI includes zero
hubert,svm_rbf,S_S,mcc,0.1987610480294881,0.20137341209694085,-0.0026123640674527437,-0.002358064879738013,0.012408141335274635,-0.026046665920880025,0.020823231485259153,0.872,2000,subject,CI includes zero
hubert,svm_rbf,R_S,f1,0.34060800404995245,0.27414622638960096,0.0664617776603515,0.06610554619621789,0.018398366911271967,0.03361766970663527,0.10456475681850781,0.0,2000,subject,CI excludes zero
hubert,svm_rbf,R_S,balanced_accuracy,0.5410201271488904,0.5297689539159842,0.011251173232906142,0.011180047369353137,0.006529027891923036,-0.0007262223647203493,0.025341908243986702,0.062,2000,subject,CI includes zero
hubert,svm_rbf,R_S,roc_auc,0.5893927383322368,0.5921482869423979,-0.0027555486101610294,-0.002383118008168056,0.009022900137517508,-0.021366764116116498,0.014111507657853694,0.779,2000,subject,CI includes zero
hubert,svm_rbf,R_S,mcc,0.09182352950105536,0.06906815663028795,0.022755372870767412,0.022587117751622098,0.014187629043943028,-0.002895335694351823,0.05153688423686346,0.093,2000,subject,CI includes zero
