representation,classifier,protocol,metric,ablation_point,full_fusion_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_minus_hubert,svm_rbf,S_R,roc_auc,0.5824604350004098,0.5845537286986863,-0.0020932936982764883,-0.002193491579368853,0.007544203637673406,-0.01763669312260159,0.011898716150732017,0.795,2000,subject,CI includes zero
full_minus_hubert,svm_rbf,S_R,mcc,0.07331997237188342,0.07042261008092886,0.0028973622909545665,0.002888532112520343,0.012989036180974859,-0.02233042366245089,0.027876334800402424,0.818,2000,subject,CI includes zero
full_minus_hubert,mlp,R_R,f1,0.5691717648461441,0.5654573614497161,0.0037144033964279233,0.003603901369096567,0.008967323570876524,-0.013147621211038976,0.022255360440496617,0.717,2000,subject,CI includes zero
full_minus_hubert,mlp,R_R,balanced_accuracy,0.5655885042623217,0.5676393968931283,-0.0020508926308066,-0.001899198771852385,0.0050628690698087545,-0.011764324151580564,0.007632837202962598,0.717,2000,subject,CI includes zero
full_minus_hubert,mlp,R_R,roc_auc,0.6030830218591698,0.6168626066818165,-0.013779584822646629,-0.013621316650058782,0.005785045498073073,-0.024995451288817017,-0.002359724075643731,0.022,2000,subject,CI excludes zero
full_minus_hubert,mlp,R_R,mcc,0.14065033794446333,0.1458021825215162,-0.0051518445770528665,-0.004753369587181583,0.011182614251125747,-0.02690338701932643,0.016460682102433153,0.675,2000,subject,CI includes zero
full_minus_hubert,mlp,S_S,f1,0.530970631427267,0.5025136534967626,0.02845697793050439,0.028222828763005477,0.019238583147119362,-0.009178285323155287,0.06519068808693726,0.142,2000,subject,CI includes zero
full_minus_hubert,mlp,S_S,balanced_accuracy,0.5799421774270923,0.5748047249333063,0.005137452493786054,0.005279281056044179,0.009467067086791889,-0.013158014615857852,0.02307229414607076,0.579,2000,subject,CI includes zero
full_minus_hubert,mlp,S_S,roc_auc,0.6249026067398389,0.6245613937741804,0.00034121296565847725,0.00044995186843859174,0.008344247411999524,-0.01529449136679815,0.016739513528623233,0.954,2000,subject,CI includes zero
full_minus_hubert,mlp,S_S,mcc,0.16421047440700276,0.15343068479065233,0.010779789616350427,0.011124355331704564,0.019597581136539564,-0.026341972159672922,0.04879926574234077,0.574,2000,subject,CI includes zero
full_minus_hubert,mlp,R_S,f1,0.3995692459752417,0.3753025557873346,0.02426669018790706,0.02465415311399235,0.031368473575002935,-0.03429415047769905,0.08713901125645686,0.446,2000,subject,CI includes zero
